symbol,entry_date,exit_date,signal_date_in,signal_date_out,qty,entry_px,exit_px,reason,hold_days,buy_cost,sell_cost,net_pnl,ret_pct,key,rule,mode,presence
EA,2023-09-11 04:00:00+00:00,2023-10-09 04:00:00+00:00,2023-09-11 04:00:00+00:00,2023-10-09 04:00:00+00:00,12.21137151408592,122.53,124.59,만기,20.0,3.7406483790523697,3.803536942349912,17.611239997614803,1.6812209254876365,EA@2023-09-11 04:00:00+00:00,⓪운영설정,A,A
SMCI,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,48.303130736197836,31.031,25.438,만기,20.0,3.7472361246873875,3.0718375991685014,-276.9784839314102,-18.02391157229867,SMCI@2023-10-10 04:00:00+00:00,⓪운영설정,A,A
PLTR,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,84.1760542789621,17.8,18.8,만기,20.0,3.745834415413814,3.956274551111219,76.47394531243708,5.617977528089879,PLTR@2023-10-10 04:00:00+00:00,⓪운영설정,A,A
PDD,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,13.672051959727584,109.55,109.37,만기,20.0,3.744433230470392,3.7382808070885147,-9.943683390309616,-0.1643085349155582,PDD@2023-10-10 04:00:00+00:00,⓪운영설정,A,A
CRWD,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,32.57466473460747,45.9625,48.09,만기,20.0,3.743032569660989,3.9162890677181834,61.64327758549871,4.628773456622248,CRWD@2023-10-10 04:00:00+00:00,⓪운영설정,A,A
SNPS,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,3.0537082963331046,490.11,499.02,만기,20.0,3.741632432789545,3.8096537850903647,19.6572547024482,1.8179592336414307,SNPS@2023-10-10 04:00:00+00:00,⓪운영설정,A,A
ZS,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,8.704288619176337,171.88,171.39,만기,20.0,3.740232819660072,3.729570066101581,-11.734904309157855,-0.2850826157784536,ZS@2023-10-10 04:00:00+00:00,⓪운영설정,A,A
META,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,2023-10-10 04:00:00+00:00,2023-11-07 05:00:00+00:00,0.03308072563917201,321.84,318.82,만기,20.0,0.026616751849277802,0.026366992370702055,-0.1528875356502759,-0.9383544618443929,META@2023-10-10 04:00:00+00:00,⓪운영설정,A,A
FAST,2023-10-12 04:00:00+00:00,2023-11-09 05:00:00+00:00,2023-10-12 04:00:00+00:00,2023-11-09 05:00:00+00:00,0.22792269345953084,30.11,29.565,만기,20.0,0.017156880750166185,0.016846336080327574,-0.15822108476593755,-1.8100298904018541,FAST@2023-10-12 04:00:00+00:00,⓪운영설정,A,A
EA,2023-10-13 04:00:00+00:00,2023-11-10 05:00:00+00:00,2023-10-13 04:00:00+00:00,2023-11-10 05:00:00+00:00,0.11575083558315181,131.29,132.78,만기,20.0,0.037992318009280004,0.03842348987182725,0.09605293713779162,1.1348922233224146,EA@2023-10-13 04:00:00+00:00,⓪운영설정,A,A
