config,탐_cagr,탐_sharpe,탐_mdd,탐_calmar,검_cagr,검_sharpe,검_mdd,검_calmar,최대단일비중,연turnover
기준선(한도없음),29.97,1.014,-62.3,0.48,21.5,0.884,-38.63,0.56,20.9,12.5
rho0.50/cap2,30.45,1.035,-59.76,0.51,19.54,0.859,-36.45,0.54,20.9,12.5
rho0.50/cap3,28.87,0.991,-64.25,0.45,19.61,0.851,-35.77,0.55,20.9,12.5
rho0.50/cap4,29.31,1.001,-62.3,0.47,20.19,0.862,-37.95,0.53,20.9,12.5
rho0.60/cap2,31.24,1.052,-58.52,0.53,20.09,0.864,-39.94,0.5,20.9,12.5
rho0.60/cap3,30.22,1.024,-62.52,0.48,20.04,0.849,-39.92,0.5,20.9,12.6
rho0.60/cap4,30.0,1.017,-62.3,0.48,20.86,0.869,-39.59,0.53,20.9,12.5
rho0.70/cap2,30.33,1.025,-61.7,0.49,21.16,0.883,-37.43,0.57,20.9,12.5
rho0.70/cap3,30.06,1.016,-62.3,0.48,21.19,0.878,-37.76,0.56,20.9,12.5
rho0.70/cap4,29.97,1.014,-62.3,0.48,21.11,0.871,-38.63,0.55,20.9,12.5
