rule,mode,cost_bp_oneway,total_return_pct,cagr_pct,sharpe,trades
⓪운영설정,A,0,218.08,47.29,1.414,315
⓪운영설정,B,0,206.55,45.48,1.418,328
⓪운영설정,C,0,206.66,45.5,1.417,313
⓪운영설정,A,5,207.66,45.66,1.377,315
⓪운영설정,B,5,196.58,43.88,1.381,328
⓪운영설정,C,5,191.72,43.09,1.359,314
⓪운영설정,A,10,187.99,42.47,1.303,317
⓪운영설정,B,10,186.94,42.3,1.345,328
⓪운영설정,C,10,182.28,41.52,1.322,314
⓪운영설정,A,20,156.23,37.01,1.189,319
⓪운영설정,B,20,168.59,39.19,1.271,328
⓪운영설정,C,20,164.3,38.44,1.25,314
⓪운영설정,A,25,145.44,35.05,1.139,318
⓪운영설정,B,25,159.86,37.66,1.234,328
⓪운영설정,C,25,155.74,36.92,1.213,315
①손절15+모멘텀0,A,0,199.1,44.29,1.136,169
①손절15+모멘텀0,B,0,213.57,46.59,1.2,169
①손절15+모멘텀0,C,0,302.85,59.41,1.367,168
①손절15+모멘텀0,A,5,190.03,42.81,1.109,170
①손절15+모멘텀0,B,5,203.9,45.06,1.172,169
①손절15+모멘텀0,C,5,290.85,57.81,1.341,168
①손절15+모멘텀0,A,10,181.24,41.35,1.082,170
①손절15+모멘텀0,B,10,194.54,43.55,1.144,169
①손절15+모멘텀0,C,10,279.21,56.22,1.316,168
①손절15+모멘텀0,A,20,164.46,38.47,1.028,170
①손절15+모멘텀0,B,20,176.68,40.58,1.088,169
①손절15+모멘텀0,C,20,256.97,53.09,1.264,168
①손절15+모멘텀0,A,25,156.45,37.05,1.001,170
①손절15+모멘텀0,B,25,168.16,39.11,1.06,169
①손절15+모멘텀0,C,25,246.35,51.55,1.239,168
④손절25+모멘텀0+회전가드,A,0,262.11,53.82,1.319,159
④손절25+모멘텀0+회전가드,B,0,318.07,61.4,1.413,157
④손절25+모멘텀0+회전가드,C,0,307.77,60.06,1.466,161
④손절25+모멘텀0+회전가드,A,5,252.01,52.37,1.294,159
④손절25+모멘텀0+회전가드,B,5,306.07,59.84,1.388,157
④손절25+모멘텀0+회전가드,C,5,296.02,58.5,1.439,161
④손절25+모멘텀0+회전가드,A,10,242.2,50.94,1.268,159
④손절25+모멘텀0+회전가드,B,10,294.42,58.29,1.363,157
④손절25+모멘텀0+회전가드,C,10,284.6,56.96,1.412,161
④손절25+모멘텀0+회전가드,A,20,223.36,48.11,1.216,160
④손절25+모멘텀0+회전가드,B,20,272.12,55.23,1.313,157
④손절25+모멘텀0+회전가드,C,20,262.75,53.91,1.358,161
④손절25+모멘텀0+회전가드,A,25,214.34,46.71,1.191,160
④손절25+모멘텀0+회전가드,B,25,261.45,53.73,1.288,157
④손절25+모멘텀0+회전가드,C,25,252.3,52.42,1.331,161
