exp_id,variant,regime_source,total_return_pct,cagr_pct,sharpe,trades,turnover_per_yr,vol_ann_pct,downside_dev_pct,mdd_pct,es5_daily_pct,worst_day_pct,mean_stock_weight_pct,warmup_days,ci_cum,ci_sharpe,ci_mdd,ci_excludes_zero_95,note
BASE,"결정적 정량 기준선 (운영 파라미터 proxy, mode C)",없음(국면 미사용),155.74,36.92,1.213,315,105.4,29.56,20.61,-31.31,-4.165,-7.64,,0,,,,,LLM 제거 · 운영 변경 아님
C1,위험타겟30% · 비례축소 · warmup_cap=1.0,없음(국면 미사용),102.1,26.55,1.015,346,115.8,26.77,18.83,-23.99,-3.797,-6.82,76.0,27,"[-3.05, +0.75]","[-0.91, +0.47]","[-0.147, +0.173]",False,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
C1,위험타겟30% · 비례축소 · warmup_cap=0.5(보수적),없음(국면 미사용),123.37,30.86,1.093,351,117.5,28.29,19.59,-29.06,-3.993,-6.2,75.6,25,"[-3.14, +1.96]","[-1.03, +0.83]","[-0.184, +0.196]",False,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
C1,위험타겟30% · 평가액 큰 순 축소(실전 방식),없음(국면 미사용),117.86,29.77,1.112,353,118.1,26.68,18.51,-23.81,-3.717,-7.35,76.3,27,"[-2.73, +0.95]","[-0.77, +0.58]","[-0.136, +0.193]",False,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
C1-대조,단순 현금혼합 주식 75% 고정 (사전 지정),없음(국면 미사용),149.7,35.83,1.409,345,115.5,23.77,15.85,-24.59,-3.15,-6.6,69.4,0,"[-2.15, +1.58]","[-0.47, +0.84]","[-0.060, +0.175]",False,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
C2,만기 재평가·순주문 (연장 최대 2회),없음(국면 미사용),97.19,25.51,0.932,227,76.0,28.9,20.0,-30.55,-4.081,-8.42,,0,"[-2.61, +0.69]","[-0.88, +0.31]","[-0.184, +0.077]",False,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
C3,QQQ · 단일경계 -3%,"QQQ (운영 기본, yfinance)",33.41,10.13,0.493,329,110.1,27.04,19.46,-31.33,-4.059,-6.82,,0,"[-4.80, -0.12]","[-1.43, -0.10]","[-0.163, +0.056]",True,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
C3,QQQ · 완충 -4%/-2%,"QQQ (운영 기본, yfinance)",39.52,11.79,0.544,329,110.1,27.47,19.49,-31.38,-4.091,-6.82,,0,"[-4.60, -0.10]","[-1.37, -0.08]","[-0.155, +0.056]",True,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
C3-폴백,유니버스중앙값 · 단일경계 -3%,유니버스 60일 중앙값 (운영 폴백),38.29,11.46,0.534,328,109.8,27.33,19.42,-31.78,-4.065,-6.82,,0,"[-4.62, -0.12]","[-1.37, -0.09]","[-0.160, +0.055]",True,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
C3-폴백,유니버스중앙값 · 완충 -4%/-2%,유니버스 60일 중앙값 (운영 폴백),38.25,11.45,0.534,328,109.8,27.33,19.42,-31.78,-4.065,-6.82,,0,"[-4.62, -0.12]","[-1.36, -0.09]","[-0.160, +0.055]",True,"기준선 대비 짝지은 block bootstrap L=20, 2000회, 95% percentile CI"
