설정,CAGR%,Sharpe,MDD%,Calmar,평균주식비중%,연turnover,Sh 15~20,Sh 21~26,Sh 25bp,Sh 편향99~14,ΔSh,ΔSh CI,DSR,편향구간 방향,판정
L0 현행(운영 근사),7.63,0.45,-29.5,0.26,86,10.8,0.578,0.345,0.225,1.076,,,,,
X2 추적손절 15%,12.09,0.646,-29.7,0.41,86,11.5,0.748,0.561,0.484,0.826,0.196,+0.006~+0.395,0.29,반대,CANDIDATE
X12 만기 40일,13.93,0.693,-28.2,0.49,85,5.5,0.921,0.499,0.627,1.236,0.243,+0.029~+0.468,0.404,같음,CANDIDATE
X14 만기 때 상위20이면 연장,15.0,0.746,-30.9,0.49,85,7.4,0.811,0.697,0.642,1.168,0.296,+0.083~+0.506,0.761,같음,CANDIDATE
E2 순위=126일 모멘텀,14.1,0.728,-33.1,0.43,77,9.6,0.908,0.578,0.591,1.12,0.278,+0.018~+0.530,0.34,같음,CANDIDATE
E3 순위=12-1개월 모멘텀,12.6,0.686,-28.0,0.45,72,9.2,0.858,0.551,0.55,1.086,0.236,-0.088~+0.574,0.158,같음,CANDIDATE
C 조합: R4 + X14 + M4 + E2,24.82,0.841,-43.4,0.57,100,2.3,1.15,0.594,0.796,1.004,0.391,+0.080~+0.723,0.743,반대,CANDIDATE
X14b 만기 때 상위10이면 연장,8.57,0.488,-29.5,0.29,86,8.9,0.603,0.39,0.364,1.018,0.038,-0.108~+0.180,0.048,반대,CANDIDATE
X14c 만기 때 상위30이면 연장,11.07,0.591,-33.6,0.33,85,7.0,0.627,0.567,0.494,1.075,0.141,-0.054~+0.330,0.222,반대,CANDIDATE
X14d 만기 때 상위40이면 연장,13.83,0.7,-25.4,0.54,85,6.1,0.718,0.691,0.305,1.044,0.25,+0.077~+0.432,0.549,반대,CANDIDATE
P1 E2+X14 (126일·연장20),16.01,0.789,-29.4,0.55,79,4.7,1.042,0.575,0.695,1.234,0.339,+0.038~+0.629,0.453,같음,CANDIDATE
P2 E3+X14 (12-1·연장20),13.84,0.731,-31.2,0.44,75,4.4,0.809,0.667,0.76,1.11,0.281,-0.037~+0.628,0.229,같음,CANDIDATE
