,X14,E2,P1,P2,X12,X2,C
2015,0.286,0.269,0.294,0.261,0.24,0.186,0.358
2016,0.299,0.229,0.272,0.197,0.209,0.212,0.33
2017,0.309,0.307,0.37,0.307,0.237,0.172,0.397
2018,0.321,0.289,0.36,0.277,0.276,0.209,0.42
2019,0.321,0.311,0.345,0.28,0.266,0.187,0.439
2020,0.269,0.231,0.331,0.397,0.176,0.222,0.309
2021,0.354,0.3,0.339,0.301,0.211,0.199,0.45
2022,0.281,0.298,0.337,0.29,0.282,0.195,0.427
2023,0.305,0.3,0.405,0.328,0.275,0.224,0.432
2024,0.294,0.313,0.406,0.259,0.228,0.161,0.4
2025,0.325,0.272,0.329,0.246,0.247,0.196,0.315
2026,0.183,0.209,0.283,0.24,0.267,0.188,0.405
