QQQ비중%,설정,CAGR%,Sharpe,MDD%,Calmar,L0 대비 ΔSh,L0 CI,QQQ 대비 ΔSh,QQQ CI
0,L0 현행,7.63,0.45,-29.5,0.26,-0.0,-0.000~+0.000,-0.448,-0.834~-0.098
50,L0 현행,13.34,0.719,-30.4,0.44,0.269,+0.085~+0.469,-0.179,-0.377~-0.005
75,L0 현행,16.13,0.825,-32.6,0.49,0.375,+0.103~+0.675,-0.074,-0.168~+0.008
0,X14 만기연장,15.0,0.746,-30.9,0.49,0.296,+0.083~+0.506,-0.152,-0.635~+0.276
50,X14 만기연장,17.22,0.879,-28.4,0.61,0.429,+0.225~+0.669,-0.019,-0.260~+0.212
75,X14 만기연장,18.12,0.904,-31.7,0.57,0.454,+0.188~+0.771,0.006,-0.110~+0.120
0,E2 126일,14.1,0.728,-33.1,0.43,0.278,+0.018~+0.530,-0.171,-0.604~+0.233
50,E2 126일,16.7,0.865,-30.7,0.54,0.415,+0.173~+0.692,-0.033,-0.253~+0.172
75,E2 126일,17.84,0.896,-32.8,0.54,0.445,+0.163~+0.771,-0.003,-0.109~+0.098
0,P1 126일 모멘텀+연장20 (사후),16.01,0.789,-29.4,0.55,0.339,+0.038~+0.629,-0.109,-0.563~+0.289
50,P1 126일 모멘텀+연장20 (사후),17.73,0.904,-29.9,0.59,0.454,+0.182~+0.754,0.006,-0.237~+0.218
75,P1 126일 모멘텀+연장20 (사후),18.37,0.917,-32.4,0.57,0.467,+0.171~+0.800,0.019,-0.100~+0.122
0,확장창 선택,7.19,0.524,-19.8,0.36,0.074,-0.296~+0.421,-0.375,-0.858~+0.022
50,확장창 선택,13.14,0.8,-25.6,0.51,0.35,+0.043~+0.680,-0.099,-0.285~+0.070
75,확장창 선택,16.03,0.865,-30.4,0.53,0.415,+0.091~+0.770,-0.033,-0.112~+0.043
100,QQQ 매수보유,18.86,0.898,-35.1,0.54,0.448,+0.098~+0.834,,
