연도,선택,근거,선택 수익%,L0 수익%
2015,X12 만기 40일,편향 1999~2014,0.1,-4.1
2016,X5 추적손절 15%·만기없음,PIT 2015-01~2015-12-02,11.4,-0.2
2017,X13 만기 60일,PIT 2015-01~2016-12-01,10.2,22.4
2018,X5 추적손절 15%·만기없음,PIT 2015-01~2017-11-30,-0.2,-5.3
2019,X5 추적손절 15%·만기없음,PIT 2015-01~2018-11-29,27.5,21.7
2020,X5 추적손절 15%·만기없음,PIT 2015-01~2019-12-02,26.8,28.8
2021,X5 추적손절 15%·만기없음,PIT 2015-01~2020-12-02,21.5,8.5
2022,X5 추적손절 15%·만기없음,PIT 2015-01~2021-12-02,-7.5,-17.8
2023,X5 추적손절 15%·만기없음,PIT 2015-01~2022-12-01,4.9,28.5
2024,X5 추적손절 15%·만기없음,PIT 2015-01~2023-11-30,-1.9,1.3
2025,X5 추적손절 15%·만기없음,PIT 2015-01~2024-12-02,2.4,-9.0
2026,X5 추적손절 15%·만기없음,PIT 2015-01~2025-12-02,-4.4,28.3
