설정,CAGR%,Sharpe,MDD%,Calmar,평균주식비중%,연turnover,Sh 15~20,Sh 21~26,Sh 25bp,Sh 편향99~14,ΔSh,ΔSh CI,DSR,편향구간 방향,판정
L0 현행(운영 근사),7.63,0.45,-29.5,0.26,86,10.8,0.578,0.345,0.225,1.076,,,,,
R1 국면전환(저변동성 선별) 제거,10.08,0.539,-39.5,0.26,83,10.5,0.619,0.478,0.428,0.935,0.088,-0.139~+0.321,0.109,반대,CANDIDATE
R2 변동성타겟 제거,8.38,0.462,-30.4,0.28,88,11.1,0.615,0.348,0.305,0.96,0.012,-0.108~+0.145,0.072,반대,CANDIDATE
R3 모멘텀등급 사이징 제거(균등),9.39,0.525,-38.3,0.25,87,11.0,0.644,0.427,0.407,1.043,0.075,-0.148~+0.299,0.068,반대,CANDIDATE
R4 부가규칙 전부 제거(단순 슬롯),14.08,0.619,-40.7,0.35,100,12.5,0.774,0.509,0.481,0.849,0.169,-0.048~+0.420,0.376,반대,CANDIDATE
X1 추적손절 10%,10.86,0.594,-31.2,0.35,85,12.6,0.731,0.48,0.39,1.059,0.144,-0.074~+0.381,0.152,반대,CANDIDATE
X2 추적손절 15%,12.09,0.646,-29.7,0.41,86,11.5,0.748,0.561,0.484,0.826,0.196,+0.006~+0.395,0.309,반대,CANDIDATE
X3 추적손절 20%,7.12,0.428,-30.5,0.23,86,11.1,0.593,0.284,0.3,0.907,-0.022,-0.209~+0.157,0.011,같음,REJECT
X4 추적손절 25%,7.59,0.45,-30.8,0.25,86,10.9,0.425,0.475,0.398,0.979,-0.0,-0.158~+0.172,0.017,같음,REJECT
X5 추적손절 15%·만기없음,9.47,0.653,-19.8,0.48,88,1.7,1.029,0.222,0.623,1.121,0.203,-0.173~+0.573,0.026,같음,REJECT
X6 추적손절 25%·만기없음,6.66,0.494,-27.1,0.25,86,0.5,0.666,0.297,0.484,1.192,0.044,-0.347~+0.465,0.006,같음,REJECT
X7 손절 10%,7.91,0.466,-31.6,0.25,85,11.8,0.48,0.458,0.386,0.982,0.016,-0.195~+0.240,0.022,반대,REJECT
X8 손절 20%,7.87,0.458,-36.5,0.22,85,11.0,0.579,0.361,0.306,1.005,0.008,-0.160~+0.183,0.025,반대,CANDIDATE
X9 모멘텀 음전 청산,2.78,0.236,-40.2,0.07,84,24.4,0.372,0.123,-0.153,0.757,-0.214,-0.444~+0.022,0.0,같음,REJECT
X10 50일선 이탈 청산,7.86,0.468,-34.6,0.23,85,22.5,0.453,0.486,0.1,0.853,0.018,-0.217~+0.267,0.02,반대,REJECT
X11 만기 10일,7.19,0.431,-32.9,0.22,85,21.3,0.615,0.282,0.132,1.033,-0.019,-0.246~+0.200,0.012,같음,REJECT
X12 만기 40일,13.93,0.693,-28.2,0.49,85,5.5,0.921,0.499,0.627,1.236,0.243,+0.029~+0.468,0.425,같음,CANDIDATE
X13 만기 60일,11.02,0.573,-30.9,0.36,84,3.6,0.94,0.259,0.524,1.19,0.123,-0.164~+0.432,0.112,같음,REJECT
X14 만기 때 상위20이면 연장,15.0,0.746,-30.9,0.49,85,7.4,0.811,0.697,0.642,1.168,0.296,+0.083~+0.506,0.777,같음,CANDIDATE
M1 지수<200일선: 신규매수 중단,7.14,0.445,-33.5,0.21,72,9.3,0.553,0.35,0.345,1.051,-0.006,-0.300~+0.276,0.01,같음,REJECT
M2 지수<200일선: 전량 현금,6.84,0.442,-23.8,0.29,67,9.6,0.506,0.392,0.286,1.097,-0.008,-0.292~+0.283,0.008,반대,REJECT
M3 REGIME_DERISK 70%,8.28,0.483,-30.6,0.27,84,10.6,0.548,0.429,0.451,1.147,0.033,-0.118~+0.185,0.037,같음,REJECT
M4 대기현금 QQQ 보유,12.58,0.615,-29.6,0.42,82,10.3,0.671,0.567,0.417,0.493,0.165,+0.001~+0.352,0.523,반대,CANDIDATE
E1 순위=60일 모멘텀,12.61,0.664,-36.8,0.34,80,10.0,0.927,0.455,0.527,1.015,0.213,-0.038~+0.445,0.254,반대,CANDIDATE
E2 순위=126일 모멘텀,14.1,0.728,-33.1,0.43,77,9.6,0.908,0.578,0.591,1.12,0.278,+0.018~+0.530,0.36,같음,CANDIDATE
E3 순위=12-1개월 모멘텀,12.6,0.686,-28.0,0.45,72,9.2,0.858,0.551,0.55,1.086,0.236,-0.088~+0.574,0.172,같음,CANDIDATE
E4 순위=변동성조정 20일,11.09,0.664,-26.5,0.42,84,10.7,0.653,0.676,0.491,1.003,0.214,-0.023~+0.463,0.115,반대,CANDIDATE
E5 순위=52주고점 근접,8.99,0.604,-21.6,0.42,78,9.9,0.918,0.31,0.426,0.856,0.154,-0.159~+0.464,0.023,반대,REJECT
E6 종목 200일선 위만 진입,8.45,0.49,-32.6,0.26,85,10.7,0.487,0.498,0.341,1.102,0.04,-0.177~+0.276,0.036,같음,REJECT
E7 RSI14≥80 진입 제외,9.64,0.531,-31.2,0.31,85,10.7,0.516,0.55,0.383,1.147,0.081,-0.063~+0.235,0.141,같음,REJECT
E8 슬롯5·종목당20%,10.68,0.56,-37.3,0.29,76,9.7,0.584,0.548,0.444,1.061,0.11,-0.158~+0.372,0.139,반대,CANDIDATE
E9 슬롯15·종목당10%,7.86,0.473,-29.3,0.27,85,10.7,0.649,0.327,0.316,1.094,0.023,-0.134~+0.183,0.018,같음,REJECT
C 조합: R4 + X14 + M4 + E2,24.82,0.841,-43.4,0.57,100,2.3,1.15,0.594,0.796,1.004,0.391,+0.080~+0.723,0.76,반대,CANDIDATE
