지표,표본일,평균IC,t,IC>0비율%,상위10%초과%,하위10%초과%
mom20,70,-0.002,-0.08,51.4,0.39,0.1
mom60,70,-0.008,-0.26,55.7,-0.12,-0.33
mom126,70,0.0132,0.42,54.3,0.95,-0.22
mom12_1,70,0.0189,0.57,58.6,1.04,-0.41
mom20_vadj,70,0.0144,0.61,55.7,-0.03,-0.26
nh52,70,0.0152,0.47,57.1,-0.22,-0.76
lowvol,70,0.0073,0.21,55.7,-0.56,0.64
rsi14,70,0.0083,0.35,54.3,0.08,0.1
dist50,70,-0.0009,-0.03,50.0,0.45,-0.12
dist200,70,0.0145,0.44,57.1,0.48,-0.79
ret5,70,-0.0321,-1.4,41.4,-0.37,0.73
bbp,70,-0.0077,-0.36,54.3,-0.26,-0.57
macdh,70,-0.0298,-1.25,42.9,-0.29,-0.09
