지표,표본일,평균IC,t,IC>0비율%,상위10%초과%,하위10%초과%
mom20,200,-0.0031,-0.23,49.5,0.89,0.5
mom60,200,0.0008,0.06,53.0,1.09,0.44
mom126,200,0.0093,0.65,54.5,0.89,1.41
mom12_1,200,0.0235,1.52,55.0,1.04,0.74
mom20_vadj,200,-0.01,-0.82,51.0,0.08,0.35
nh52,200,-0.0179,-1.13,48.5,-0.29,1.58
lowvol,200,-0.0188,-1.07,43.5,-0.77,1.49
rsi14,200,-0.0177,-1.42,46.5,0.0,0.52
dist50,200,-0.0077,-0.55,47.0,0.52,0.6
dist200,200,0.0048,0.33,56.5,1.07,1.36
ret5,200,-0.0208,-1.67,45.5,-0.12,0.31
bbp,200,-0.0209,-1.82,49.5,-0.22,0.11
macdh,200,-0.0065,-0.5,48.5,0.16,0.15
