run,timestamp,status,total_value,cash,reserve_usd,cash_left,buy_decisions,sell_decisions,hold_decisions,orders_sent,orders_skipped,skip_reasons
1,2026-09-08T15:07:00+09:00,done,606.87,121.44,60.69,60.75,5,0,5,0,0,
2,2026-09-08T15:20:01+09:00,skipped,,,,,0,0,0,0,0,
3,2026-09-08T15:20:39+09:00,skipped,,,,,0,0,0,0,0,
4,2026-09-08T15:38:30+09:00,skipped,,,,,0,0,0,0,0,
5,2026-09-08T17:00:00+09:00,done,607.81,121.44,60.78,60.66,5,0,5,1,1,"정규장 외 시간이라 정수 주 필요, 1주 미만"
6,2026-09-08T17:02:34+09:00,done,603.76,121.44,60.38,61.06,5,1,4,1,1,"정규장 외 시간이라 정수 주 필요, 1주 미만"
7,2026-09-08T20:16:55+09:00,error: Connection error.,604.83,121.44,60.48,60.96,0,0,0,0,0,
8,2026-09-08T20:19:06+09:00,error: Connection error.,605.07,121.44,60.51,60.93,0,0,0,0,0,
9,2026-09-08T20:21:48+09:00,done,604.84,121.44,60.48,60.96,5,1,4,1,1,"정규장 외 시간이라 정수 주 필요, 1주 미만"
10,2026-09-08T22:30:00+09:00,done,604.68,121.44,60.47,60.97,4,1,5,2,0,
11,2026-09-08T22:40:49+09:00,done,604.87,178.82,60.49,118.33,2,0,8,0,0,
12,2026-09-08T23:30:00+09:00,done,607.46,178.82,60.75,118.07,3,0,7,0,0,
13,2026-09-09T00:00:00+09:00,done,607.34,178.82,60.73,118.09,4,1,5,1,0,
14,2026-09-09T01:34:37+09:00,done,605.18,195.5,60.52,134.98,3,1,6,2,0,
15,2026-09-09T02:00:00+09:00,done,603.2,84.84,60.32,24.52,2,0,8,0,0,
16,2026-09-09T04:00:00+09:00,done,601.64,84.84,60.16,24.68,2,0,8,0,0,
17,2026-09-09T08:55:57+09:00,skipped,,,,,0,0,0,0,0,
18,2026-09-09T08:56:26+09:00,skipped,,,,,0,0,0,0,0,
19,2026-09-09T09:11:25+09:00,skipped,,,,,0,0,0,0,0,
20,2026-09-09T09:53:44+09:00,skipped,,,,,0,0,0,0,0,
21,2026-09-09T22:37:34+09:00,done,600.12,84.84,60.01,24.83,3,0,12,1,2,금액 $0.00 < 최소 $5.0 (비중·현금 한도 적용 후)
22,2026-09-09T22:40:10+09:00,done,600.08,84.84,60.01,24.83,3,0,12,1,2,금액 $0.00 < 최소 $5.0 (비중·현금 한도 적용 후)
23,2026-09-09T23:30:00+09:00,done,604.34,60.02,60.43,-0.41,2,0,14,0,2,금액 $-0.41 < 최소 $5.0 (비중·현금 한도 적용 후)
24,2026-09-09T23:38:14+09:00,done,603.96,60.02,60.4,-0.38,1,0,15,0,1,금액 $-0.38 < 최소 $5.0 (비중·현금 한도 적용 후)
25,2026-09-10T00:00:00+09:00,done,601.26,60.02,60.13,-0.11,3,0,13,0,3,금액 $-0.11 < 최소 $5.0 (비중·현금 한도 적용 후)
26,2026-09-10T00:13:32+09:00,done,597.32,60.02,59.73,0.29,1,0,15,0,1,금액 $0.29 < 최소 $5.0 (비중·현금 한도 적용 후)
27,2026-09-10T02:00:00+09:00,error: 403 ip-not-allowed: 허용되지 않은 IP 주소입니다.,,,,,0,0,0,0,0,
28,2026-09-10T02:02:34+09:00,done,596.45,60.02,59.65,0.38,2,0,14,0,2,금액 $0.38 < 최소 $5.0 (비중·현금 한도 적용 후)
29,2026-09-10T04:00:00+09:00,done,594.28,60.02,59.43,0.59,1,0,15,0,1,금액 $0.59 < 최소 $5.0 (비중·현금 한도 적용 후)
30,2026-09-10T06:00:00+09:00,skipped,,,,,0,0,0,0,0,
31,2026-09-10T08:00:00+09:00,skipped,,,,,0,0,0,0,0,
32,2026-09-10T12:03:02+09:00,skipped,,,,,0,0,0,0,0,
33,2026-09-10T17:00:00+09:00,done,590.57,60.02,59.06,0.96,0,0,16,0,0,
34,2026-09-10T22:08:34+09:00,error: Connection error.,578.66,60.02,57.87,2.15,0,0,0,0,0,
35,2026-09-10T22:10:13+09:00,done,579.35,60.02,57.94,2.09,0,0,16,0,0,
36,2026-09-10T22:30:00+09:00,done,579.35,60.02,57.94,2.09,0,0,16,0,0,
37,2026-09-10T23:30:00+09:00,done,586.57,60.02,58.66,1.36,0,0,16,0,0,
38,2026-09-11T00:00:00+09:00,done,588.67,60.02,58.87,1.15,0,0,16,0,0,
39,2026-09-11T01:50:29+09:00,running,583.14,60.02,58.31,1.71,0,0,0,0,0,
40,2026-09-11T09:30:34+09:00,skipped,,,,,0,0,0,0,0,
41,2026-09-11T13:20:10+09:00,skipped,,,,,0,0,0,0,0,
42,2026-09-11T17:00:00+09:00,done,579.84,60.02,57.98,2.04,3,0,13,0,3,금액 $2.13 < 최소 $5.0 (비중·현금 한도 적용 후)
