표본,구간,기간(거래일),관측일,평균 종목수,① 양전%,① 95%CI,② 상승%,② 95%CI,③ 지수대비%p,③ 95%CI
PIT 2015~2026,얕음 (-5~0%),5,2903,20.4,37.3,35.4~39.4,52.9,51.2~54.7,-0.15,-0.26~-0.05
PIT 2015~2026,얕음 (-5~0%),10,2898,20.4,45.1,42.6~47.6,53.8,51.6~56.0,-0.28,-0.48~-0.10
PIT 2015~2026,얕음 (-5~0%),20,2888,20.4,55.2,52.4~57.8,55.3,52.4~57.9,-0.49,-0.83~-0.15
PIT 2015~2026,얕음 (-5~0%),40,2868,20.4,56.5,53.7~59.4,57.3,54.3~60.2,-0.75,-1.30~-0.21
PIT 2015~2026,얕음 (-5~0%),60,2848,20.4,56.1,53.1~59.0,59.2,56.3~62.1,-0.98,-1.63~-0.31
PIT 2015~2026,중간 (-10~-5%),5,2647,12.4,18.1,16.4~19.9,54.0,51.7~56.3,-0.13,-0.24~-0.02
PIT 2015~2026,중간 (-10~-5%),10,2642,12.4,34.0,31.2~36.7,55.4,52.3~58.4,-0.19,-0.41~+0.03
PIT 2015~2026,중간 (-10~-5%),20,2632,12.4,56.3,52.7~59.6,56.3,52.8~59.7,-0.29,-0.70~+0.10
PIT 2015~2026,중간 (-10~-5%),40,2612,12.4,55.7,52.1~59.4,57.8,54.2~61.4,-0.59,-1.24~+0.03
PIT 2015~2026,중간 (-10~-5%),60,2592,12.4,56.6,53.1~59.9,59.8,56.4~63.1,-0.76,-1.58~+0.08
PIT 2015~2026,깊음 (-20~-10%),5,1970,10.2,9.8,8.2~11.6,55.6,52.4~58.8,0.03,-0.21~+0.25
PIT 2015~2026,깊음 (-20~-10%),10,1966,10.2,26.0,22.6~29.7,57.1,53.0~61.2,0.07,-0.32~+0.45
PIT 2015~2026,깊음 (-20~-10%),20,1956,10.2,56.8,51.8~61.7,56.8,51.9~61.7,0.18,-0.40~+0.75
PIT 2015~2026,깊음 (-20~-10%),40,1936,10.2,56.2,51.0~61.5,58.6,53.4~63.6,0.12,-0.85~+1.08
PIT 2015~2026,깊음 (-20~-10%),60,1917,10.2,56.5,51.9~60.8,61.1,56.1~66.1,-0.03,-1.29~+1.20
PIT 2015~2026,매우 깊음 (<-20%),5,558,8.0,5.0,3.1~7.2,60.6,55.3~65.6,1.25,+0.57~+1.91
PIT 2015~2026,매우 깊음 (<-20%),10,556,8.0,19.5,14.4~25.3,63.5,57.0~69.5,1.65,+0.83~+2.64
PIT 2015~2026,매우 깊음 (<-20%),20,556,8.0,64.2,54.4~73.2,64.3,54.4~73.2,2.16,+0.88~+3.65
PIT 2015~2026,매우 깊음 (<-20%),40,538,7.9,59.2,48.1~68.0,63.5,51.7~73.9,1.92,-0.10~+4.23
PIT 2015~2026,매우 깊음 (<-20%),60,521,8.0,62.3,49.2~72.4,67.2,53.2~78.6,1.98,-1.43~+4.76
PIT 2015~2026,── 음수 전체 ──,5,2923,40.7,25.6,23.8~27.5,53.9,52.0~55.9,-0.07,-0.18~+0.04
PIT 2015~2026,── 음수 전체 ──,10,2918,40.7,37.4,34.8~40.0,55.2,52.6~57.8,-0.13,-0.33~+0.07
PIT 2015~2026,── 음수 전체 ──,20,2908,40.7,56.1,52.9~59.2,56.1,53.0~59.3,-0.22,-0.59~+0.14
PIT 2015~2026,── 음수 전체 ──,40,2888,40.6,56.2,53.1~59.4,57.8,54.5~61.1,-0.48,-1.03~+0.10
PIT 2015~2026,── 음수 전체 ──,60,2868,40.6,56.4,53.2~59.7,59.8,56.6~63.1,-0.68,-1.38~+0.04
PIT · 하락 국면만,얕음 (-5~0%),5,483,19.1,42.4,36.7~48.2,56.1,51.1~61.1,0.07,-0.18~+0.31
PIT · 하락 국면만,얕음 (-5~0%),10,480,19.1,51.0,44.0~58.2,57.6,51.4~63.8,0.05,-0.46~+0.54
PIT · 하락 국면만,얕음 (-5~0%),20,477,19.1,60.0,52.5~67.3,60.1,52.6~67.4,-0.24,-1.11~+0.62
PIT · 하락 국면만,얕음 (-5~0%),40,477,19.1,62.4,54.7~69.1,65.2,56.9~73.0,-0.65,-2.20~+0.82
PIT · 하락 국면만,얕음 (-5~0%),60,477,19.1,54.7,46.1~62.5,65.6,57.3~73.0,-0.81,-2.53~+0.92
PIT · 하락 국면만,중간 (-10~-5%),5,453,17.5,22.1,18.2~26.6,57.2,52.1~61.9,-0.01,-0.23~+0.19
PIT · 하락 국면만,중간 (-10~-5%),10,450,17.5,39.6,33.7~45.7,59.6,53.2~65.6,0.1,-0.28~+0.46
PIT · 하락 국면만,중간 (-10~-5%),20,447,17.6,62.5,55.0~69.6,62.6,55.1~69.7,0.21,-0.59~+0.98
PIT · 하락 국면만,중간 (-10~-5%),40,447,17.6,62.9,53.4~71.3,67.8,58.9~76.0,0.14,-1.27~+1.42
PIT · 하락 국면만,중간 (-10~-5%),60,447,17.6,56.1,46.9~64.5,67.3,58.4~75.4,0.07,-1.59~+1.63
PIT · 하락 국면만,깊음 (-20~-10%),5,414,17.7,11.5,8.4~14.8,60.0,55.1~64.5,0.02,-0.38~+0.41
PIT · 하락 국면만,깊음 (-20~-10%),10,412,17.8,30.9,24.2~37.5,62.2,55.1~68.9,0.17,-0.33~+0.69
PIT · 하락 국면만,깊음 (-20~-10%),20,409,17.8,61.7,52.4~70.6,61.7,52.4~70.6,0.7,-0.22~+1.57
PIT · 하락 국면만,깊음 (-20~-10%),40,409,17.8,66.2,55.9~75.2,68.7,58.4~78.0,1.58,+0.19~+2.86
PIT · 하락 국면만,깊음 (-20~-10%),60,409,17.8,58.2,48.7~66.8,70.6,60.9~79.3,1.92,+0.23~+3.73
PIT · 하락 국면만,매우 깊음 (<-20%),5,233,11.4,4.7,2.2~7.8,63.1,55.3~69.8,1.23,+0.41~+2.09
PIT · 하락 국면만,매우 깊음 (<-20%),10,233,11.4,20.0,12.1~29.3,67.1,55.7~75.8,1.6,+0.90~+2.59
PIT · 하락 국면만,매우 깊음 (<-20%),20,233,11.4,69.6,54.2~80.9,69.7,54.2~80.9,2.34,+0.97~+4.25
PIT · 하락 국면만,매우 깊음 (<-20%),40,233,11.4,66.0,51.6~75.3,71.0,53.8~83.0,3.4,+1.04~+6.58
PIT · 하락 국면만,매우 깊음 (<-20%),60,233,11.4,68.5,50.1~80.8,76.1,58.6~87.5,5.4,+2.98~+8.40
PIT · 하락 국면만,── 음수 전체 ──,5,495,55.5,24.3,20.3~28.8,58.0,53.5~62.3,0.13,-0.08~+0.34
PIT · 하락 국면만,── 음수 전체 ──,10,492,55.6,39.0,33.1~45.4,60.3,53.9~66.4,0.24,-0.14~+0.62
PIT · 하락 국면만,── 음수 전체 ──,20,489,55.7,62.2,54.1~70.1,62.2,54.2~70.1,0.42,-0.36~+1.15
PIT · 하락 국면만,── 음수 전체 ──,40,489,55.7,63.9,55.2~71.9,67.5,58.7~75.7,0.63,-0.65~+1.78
PIT · 하락 국면만,── 음수 전체 ──,60,489,55.7,57.5,48.5~65.4,68.5,59.9~76.4,0.85,-0.56~+2.29
편향 1999~2014,얕음 (-5~0%),5,3949,14.2,39.2,37.1~41.2,54.1,52.2~55.9,0.22,+0.11~+0.33
편향 1999~2014,얕음 (-5~0%),10,3944,14.2,47.5,44.9~50.1,55.7,53.3~58.2,0.42,+0.23~+0.63
편향 1999~2014,얕음 (-5~0%),20,3934,14.2,58.3,55.3~61.2,58.3,55.3~61.3,0.88,+0.54~+1.25
편향 1999~2014,얕음 (-5~0%),40,3917,14.2,58.4,55.5~61.1,61.4,58.1~64.4,1.64,+1.05~+2.26
편향 1999~2014,얕음 (-5~0%),60,3897,14.2,57.9,54.9~60.7,63.2,59.9~66.4,2.36,+1.60~+3.18
편향 1999~2014,중간 (-10~-5%),5,3389,9.0,20.7,18.9~22.4,53.8,51.7~56.0,0.26,+0.12~+0.40
편향 1999~2014,중간 (-10~-5%),10,3384,9.0,35.4,32.9~38.0,55.7,52.9~58.6,0.56,+0.29~+0.82
편향 1999~2014,중간 (-10~-5%),20,3379,9.0,58.7,55.4~62.2,58.8,55.5~62.3,1.17,+0.67~+1.66
편향 1999~2014,중간 (-10~-5%),40,3368,9.0,57.7,54.3~60.9,61.0,57.1~65.0,2.03,+1.13~+2.89
편향 1999~2014,중간 (-10~-5%),60,3348,9.0,56.3,53.0~59.6,61.4,57.5~65.2,2.68,+1.42~+3.89
편향 1999~2014,깊음 (-20~-10%),5,2479,8.8,12.4,10.6~14.1,53.0,50.3~55.7,0.31,+0.08~+0.56
편향 1999~2014,깊음 (-20~-10%),10,2477,8.8,27.1,24.3~30.1,54.1,50.7~57.6,0.61,+0.22~+1.02
편향 1999~2014,깊음 (-20~-10%),20,2470,8.8,56.1,51.8~60.2,56.2,51.9~60.4,1.3,+0.60~+2.05
편향 1999~2014,깊음 (-20~-10%),40,2467,8.8,55.2,50.9~59.6,57.4,52.7~62.2,2.56,+1.42~+3.82
편향 1999~2014,깊음 (-20~-10%),60,2447,8.8,55.1,50.6~59.3,57.5,52.4~62.3,3.61,+2.15~+5.14
편향 1999~2014,매우 깊음 (<-20%),5,965,8.1,6.6,5.2~8.3,55.3,50.9~60.0,0.87,+0.34~+1.44
편향 1999~2014,매우 깊음 (<-20%),10,965,8.1,20.1,16.0~24.7,55.5,50.4~61.1,1.7,+0.73~+2.78
편향 1999~2014,매우 깊음 (<-20%),20,965,8.1,55.2,46.8~64.2,55.4,47.0~64.3,2.9,+1.16~+4.81
