symbol,결손_일수,first,last,사유
EA,2940,2015-01-02,2026-09-11,가격 없음 (인수·합병·폐지 추정)
WBA,2348,2015-03-23,2024-07-19,가격 없음 (인수·합병·폐지 추정)
ATVI,2147,2015-01-02,2023-07-14,가격 없음 (인수·합병·폐지 추정)
XLNX,1797,2015-01-02,2022-02-18,가격 없음 (인수·합병·폐지 추정)
CERN,1754,2015-01-02,2021-12-17,가격 없음 (인수·합병·폐지 추정)
ALXN,1648,2015-01-02,2021-07-20,가격 없음 (인수·합병·폐지 추정)
CTXS,1503,2015-01-02,2020-12-18,가격 없음 (인수·합병·폐지 추정)
MXIM,1430,2015-12-21,2021-08-25,가격 없음 (인수·합병·폐지 추정)
ANSS,1404,2019-12-23,2025-07-25,가격 없음 (인수·합병·폐지 추정)
MYL,1252,2015-01-02,2019-12-20,가격 없음 (인수·합병·폐지 추정)
CELG,1229,2015-01-02,2019-11-18,가격 없음 (인수·합병·폐지 추정)
FOX,1054,2015-01-02,2019-03-12,구간 결측
FOXA,1053,2015-01-02,2019-03-11,구간 결측
QRTEA,1001,2015-01-02,2018-12-21,가격 없음 (인수·합병·폐지 추정)
SGEN,1001,2019-12-23,2023-12-13,가격 없음 (인수·합병·폐지 추정)
CA,968,2015-01-02,2018-11-02,가격 없음 (인수·합병·폐지 추정)
DISH,894,2015-01-02,2018-07-20,가격 없음 (인수·합병·폐지 추정)
SPLK,814,2019-12-23,2024-03-15,가격 없음 (인수·합병·폐지 추정)
VIAB,746,2015-01-02,2017-12-15,가격 없음 (인수·합병·폐지 추정)
YHOO,619,2015-01-02,2017-06-16,가격 없음 (인수·합병·폐지 추정)
HOLX,506,2016-12-19,2018-12-21,가격 없음 (인수·합병·폐지 추정)
BBBY,495,2015-01-02,2016-12-16,가격 없음 (인수·합병·폐지 추정)
WFM,495,2015-01-02,2016-12-16,가격 없음 (인수·합병·폐지 추정)
SRCL,495,2015-01-02,2016-12-16,가격 없음 (인수·합병·폐지 추정)
LLTC,453,2015-01-02,2016-10-18,가격 없음 (인수·합병·폐지 추정)
LMCK,362,2015-01-02,2016-06-09,가격 없음 (인수·합병·폐지 추정)
LMCA,362,2015-01-02,2016-06-09,가격 없음 (인수·합병·폐지 추정)
SNDK,302,2015-01-02,2016-03-15,구간 결측
SPLS,244,2015-01-02,2015-12-18,구간 결측
GMCR,244,2015-01-02,2015-12-18,가격 없음 (인수·합병·폐지 추정)
BRCM,217,2015-01-02,2015-11-10,가격 없음 (인수·합병·폐지 추정)
ALTR,192,2015-01-02,2015-10-06,가격 없음 (인수·합병·폐지 추정)
SIAL,146,2015-01-02,2015-07-31,가격 없음 (인수·합병·폐지 추정)
CTRX,143,2015-01-02,2015-07-28,가격 없음 (인수·합병·폐지 추정)
ENDP,143,2015-12-21,2016-07-15,가격 없음 (인수·합병·폐지 추정)
DTV,141,2015-01-02,2015-07-24,가격 없음 (인수·합병·폐지 추정)
KRFT,125,2015-01-02,2015-07-01,가격 없음 (인수·합병·폐지 추정)
KHC,2,2015-07-02,2026-09-11,구간 결측
SHPG,1,2017-09-01,2017-09-01,구간 결측
ESRX,1,2017-09-01,2017-09-01,구간 결측
MRVL,1,2026-09-11,2026-09-11,구간 결측
META,1,2026-09-11,2026-09-11,구간 결측
AEP,1,2026-09-11,2026-09-11,구간 결측
INTC,1,2026-09-11,2026-09-11,구간 결측
SNPS,1,2026-09-11,2026-09-11,구간 결측
ADI,1,2026-09-11,2026-09-11,구간 결측
COST,1,2026-09-11,2026-09-11,구간 결측
AXON,1,2026-09-11,2026-09-11,구간 결측
APP,1,2026-09-11,2026-09-11,구간 결측
ASML,1,2026-09-11,2026-09-11,구간 결측
WDAY,1,2026-09-11,2026-09-11,구간 결측
AMD,1,2026-09-11,2026-09-11,구간 결측
ROP,1,2026-09-11,2026-09-11,구간 결측
MU,1,2026-09-11,2026-09-11,구간 결측
PYPL,1,2026-09-11,2026-09-11,구간 결측
AAPL,1,2026-09-11,2026-09-11,구간 결측
ODFL,1,2026-09-11,2026-09-11,구간 결측
MNST,1,2026-09-11,2026-09-11,구간 결측
ISRG,1,2026-09-11,2026-09-11,구간 결측
IDXX,1,2026-09-11,2026-09-11,구간 결측
CEG,1,2026-09-11,2026-09-11,구간 결측
INTU,1,2026-09-11,2026-09-11,구간 결측
LIN,1,2026-09-11,2026-09-11,구간 결측
MDLZ,1,2026-09-11,2026-09-11,구간 결측
ADSK,1,2026-09-11,2026-09-11,구간 결측
MSFT,1,2026-09-11,2026-09-11,구간 결측
NXPI,1,2026-09-11,2026-09-11,구간 결측
BKR,1,2026-09-11,2026-09-11,구간 결측
VRTX,1,2026-09-11,2026-09-11,구간 결측
AMGN,1,2026-09-11,2026-09-11,구간 결측
NFLX,1,2026-09-11,2026-09-11,구간 결측
ORLY,1,2026-09-11,2026-09-11,구간 결측
XEL,1,2026-09-11,2026-09-11,구간 결측
EXC,1,2026-09-11,2026-09-11,구간 결측
DASH,1,2026-09-11,2026-09-11,구간 결측
LRCX,1,2026-09-11,2026-09-11,구간 결측
QCOM,1,2026-09-11,2026-09-11,구간 결측
ROST,1,2026-09-11,2026-09-11,구간 결측
CCEP,1,2026-09-11,2026-09-11,구간 결측
TMUS,1,2026-09-11,2026-09-11,구간 결측
HON,1,2026-09-11,2026-09-11,구간 결측
CRWD,1,2026-09-11,2026-09-11,구간 결측
ADBE,1,2026-09-11,2026-09-11,구간 결측
CDNS,1,2026-09-11,2026-09-11,구간 결측
PDD,1,2026-09-11,2026-09-11,구간 결측
CSX,1,2026-09-11,2026-09-11,구간 결측
TXN,1,2026-09-11,2026-09-11,구간 결측
GOOG,1,2026-09-11,2026-09-11,구간 결측
PANW,1,2026-09-11,2026-09-11,구간 결측
SHOP,1,2026-09-11,2026-09-11,구간 결측
TRI,1,2026-09-11,2026-09-11,구간 결측
CTAS,1,2026-09-11,2026-09-11,구간 결측
GILD,1,2026-09-11,2026-09-11,구간 결측
ABNB,1,2026-09-11,2026-09-11,구간 결측
FAST,1,2026-09-11,2026-09-11,구간 결측
ADP,1,2026-09-11,2026-09-11,구간 결측
PLTR,1,2026-09-11,2026-09-11,구간 결측
TSLA,1,2026-09-11,2026-09-11,구간 결측
DXCM,1,2026-09-11,2026-09-11,구간 결측
KLAC,1,2026-09-11,2026-09-11,구간 결측
DDOG,1,2026-09-11,2026-09-11,구간 결측
KDP,1,2026-09-11,2026-09-11,구간 결측
FTNT,1,2026-09-11,2026-09-11,구간 결측
MSTR,1,2026-09-11,2026-09-11,구간 결측
SBUX,1,2026-09-11,2026-09-11,구간 결측
CPRT,1,2026-09-11,2026-09-11,구간 결측
CSCO,1,2026-09-11,2026-09-11,구간 결측
TTWO,1,2026-09-11,2026-09-11,구간 결측
GOOGL,1,2026-09-11,2026-09-11,구간 결측
NVDA,1,2026-09-11,2026-09-11,구간 결측
WBD,1,2026-09-11,2026-09-11,구간 결측
REGN,1,2026-09-11,2026-09-11,구간 결측
GEHC,1,2026-09-11,2026-09-11,구간 결측
PAYX,1,2026-09-11,2026-09-11,구간 결측
PEP,1,2026-09-11,2026-09-11,구간 결측
AMZN,1,2026-09-11,2026-09-11,구간 결측
CMCSA,1,2026-09-11,2026-09-11,구간 결측
AMAT,1,2026-09-11,2026-09-11,구간 결측
MCHP,1,2026-09-11,2026-09-11,구간 결측
MELI,1,2026-09-11,2026-09-11,구간 결측
BKNG,1,2026-09-11,2026-09-11,구간 결측
ARM,1,2026-09-11,2026-09-11,구간 결측
PCAR,1,2026-09-11,2026-09-11,구간 결측
AVGO,1,2026-09-11,2026-09-11,구간 결측
MAR,1,2026-09-11,2026-09-11,구간 결측
