그룹,총목표,밴드,CAGR%,변동성%,Sharpe,MDD%,평균투자비중%,연매매
5종목,0.7,0.03,28.6,18.8,1.33,-40.4,50.4,9.1
5종목,0.7,0.05,28.8,18.7,1.35,-36.9,49.7,4.4
5종목,0.7,0.08,28.3,18.3,1.35,-37.2,44.8,2.6
5종목,0.9,0.03,36.2,24.4,1.31,-49.1,64.2,12.1
5종목,0.9,0.05,37.1,24.1,1.35,-49.5,63.4,6.5
5종목,0.9,0.08,37.3,23.3,1.4,-43.7,62.6,3.4
5종목,1.0,0.03,39.5,27.3,1.29,-54.5,71.7,14.7
5종목,1.0,0.05,41.6,27.0,1.35,-53.2,71.4,7.7
5종목,1.0,0.08,41.7,27.0,1.35,-51.6,70.9,4.4
5종목,0.7(스트레스 슬리피지0.25%),0.05,28.8,18.7,1.35,-36.9,49.7,4.4
5종목,매수보유(동일가중),-,59.1,36.2,1.41,-64.0,,
6종목,0.7,0.03,29.3,18.4,1.39,-35.7,51.9,9.9
6종목,0.7,0.05,30.5,18.4,1.44,-32.9,51.8,5.0
6종목,0.7,0.08,27.7,18.3,1.33,-36.5,47.7,2.8
6종목,0.9,0.03,37.6,24.3,1.36,-44.7,67.5,12.5
6종목,0.9,0.05,37.5,24.6,1.34,-46.9,67.3,6.5
6종목,0.9,0.08,37.9,23.6,1.4,-43.3,65.5,3.4
6종목,1.0,0.03,41.2,27.1,1.34,-48.6,75.0,14.7
6종목,1.0,0.05,42.0,27.1,1.36,-50.2,74.4,7.8
6종목,1.0,0.08,42.7,27.0,1.38,-47.8,73.7,4.3
6종목,0.7(스트레스 슬리피지0.25%),0.05,30.5,18.4,1.43,-32.9,51.8,5.0
6종목,매수보유(동일가중),-,54.3,35.5,1.35,-60.0,,
