구간,설정,CAGR%,변동성%,Sharpe,MDD%,평균 SOXL 비중%,연 매매,익절 사이클
실제 2010~2026,SOXL(또는 합성) 매수보유,36.7,91.7,0.79,-90.5,,,
실제 2010~2026,현금(단기금리),1.5,0.1,-0.0,-0.0,,,
실제 2010~2026,SOXX 매수보유,24.5,30.8,0.82,-45.8,,,
실제 2010~2026,QQQ 매수보유,18.8,20.7,0.87,-35.1,,,
실제 2010~2026,M1 · 리스크 끔,28.9,59.5,0.7,-84.7,51.5,165.0,146.0
실제 2010~2026,M1 · R1+R2p+R3,13.1,16.0,0.76,-29.8,16.7,121.7,113.0
실제 2010~2026,M1 · R1+R2a+R3,17.7,23.9,0.74,-31.2,20.8,165.3,146.0
실제 2010~2026,M2 · 리스크 끔,9.0,30.6,0.38,-52.2,12.3,21.2,
실제 2010~2026,M2 · R1+R2p+R3,4.1,10.0,0.31,-33.1,4.0,6.0,
실제 2010~2026,M2 · R1+R2a+R3,3.3,16.1,0.19,-44.7,6.7,10.6,
실제 2010~2026,M3 · 리스크 끔,14.7,18.3,0.76,-24.7,20.8,2.0,
실제 2010~2026,M3 · R1+R2p+R3,12.0,15.3,0.72,-22.8,17.6,1.3,
실제 2010~2026,M3 · R1+R2a+R3,14.4,18.8,0.73,-31.7,21.0,2.0,
실제 2010~2026,(현금 CAGR 기준),1.5,,,,,,
합성 1994~2026,SOXL(또는 합성) 매수보유,-7.2,113.8,0.48,-100.0,,,
합성 1994~2026,현금(단기금리),2.5,0.1,-0.0,-0.0,,,
합성 1994~2026,^SOX 1배 매수보유(가격),14.9,37.9,0.49,-87.1,,,
합성 1994~2026,M1 · 리스크 끔,-6.1,69.5,0.22,-99.5,38.7,26.6,53.0
합성 1994~2026,M1 · R1+R2p+R3,7.3,14.6,0.39,-38.2,10.8,58.2,125.0
합성 1994~2026,M1 · R1+R2a+R3,2.9,15.9,0.1,-46.9,6.1,30.4,64.0
합성 1994~2026,M2 · 리스크 끔,-6.3,36.1,-0.07,-97.4,7.9,10.5,
합성 1994~2026,M2 · R1+R2p+R3,1.7,4.8,-0.13,-28.1,0.6,0.6,
합성 1994~2026,M2 · R1+R2a+R3,2.3,14.7,0.06,-49.3,1.8,2.0,
합성 1994~2026,M3 · 리스크 끔,9.9,22.1,0.43,-68.0,20.3,2.4,
합성 1994~2026,M3 · R1+R2p+R3,9.5,14.9,0.52,-25.2,14.2,1.0,
합성 1994~2026,M3 · R1+R2a+R3,8.5,16.4,0.43,-41.5,11.3,1.4,
합성 1994~2026,(현금 CAGR 기준),2.5,,,,,,
합성 1994~2009,SOXL(또는 합성) 매수보유,-36.8,132.0,0.28,-100.0,,,
합성 1994~2009,현금(단기금리),3.6,0.1,-0.0,0.0,,,
합성 1994~2009,^SOX 1배 매수보유(가격),6.8,44.0,0.29,-87.1,,,
합성 1994~2009,M1 · 리스크 끔,-21.5,90.5,0.14,-99.5,49.8,55.1,53.0
합성 1994~2009,M1 · R1+R2p+R3,5.4,16.9,0.19,-38.2,11.3,68.7,69.0
합성 1994~2009,M1 · R1+R2a+R3,1.5,19.7,-0.0,-46.9,7.9,54.4,53.0
합성 1994~2009,M2 · 리스크 끔,-17.7,46.1,-0.27,-97.2,10.5,14.7,
합성 1994~2009,M2 · R1+R2p+R3,3.7,4.4,0.05,-14.1,0.4,0.7,
합성 1994~2009,M2 · R1+R2a+R3,0.0,16.6,-0.13,-49.3,1.9,2.2,
합성 1994~2009,M3 · 리스크 끔,5.8,25.1,0.21,-68.0,19.2,3.1,
합성 1994~2009,M3 · R1+R2p+R3,8.8,14.8,0.41,-25.2,11.0,1.2,
합성 1994~2009,M3 · R1+R2a+R3,7.0,16.7,0.28,-41.5,9.5,1.5,
합성 1994~2009,(현금 CAGR 기준),3.6,,,,,,
