종목,일수,CAGR%,Sharpe,MDD%,평균비중%,매수보유 CAGR%,매수보유 Sharpe,매수보유 MDD%,규칙이 Sharpe 개선
NVDA,3195,27.2,1.3,-27.2,40.5,65.1,1.26,-66.3,True
PLTR,1497,33.7,1.15,-34.6,33.7,63.3,1.0,-84.6,True
AVGO,3195,18.9,1.05,-20.1,42.0,42.2,1.05,-48.3,False
CEG,1169,23.2,0.95,-23.5,40.0,49.4,0.98,-50.7,False
CTAS,3195,11.4,0.93,-19.8,42.6,24.2,0.91,-48.4,True
ALAB,625,34.5,0.92,-27.4,34.8,80.9,1.05,-63.7,False
AMD,3195,22.1,0.91,-29.3,37.9,46.8,0.91,-65.4,False
LRCX,3195,17.1,0.91,-23.7,40.0,37.9,0.92,-56.4,False
SHOP,2848,21.2,0.91,-36.6,37.7,46.8,0.89,-84.8,True
AAPL,3195,12.3,0.88,-18.4,42.4,26.4,0.9,-38.5,False
FTNT,3195,15.9,0.88,-25.3,40.9,35.1,0.91,-51.2,False
RKLB,1458,26.9,0.88,-33.6,30.5,38.4,0.75,-83.0,True
ARM,754,29.3,0.86,-23.9,36.3,56.8,0.9,-54.0,False
KLAC,3195,15.8,0.85,-19.7,42.4,34.3,0.89,-44.5,False
CRWD,1826,20.9,0.85,-32.7,39.5,47.4,0.92,-67.7,False
MSFT,3195,11.5,0.84,-15.6,43.0,24.5,0.87,-37.1,False
PANW,3195,15.2,0.84,-21.0,41.3,33.9,0.89,-48.0,False
MU,3195,17.0,0.84,-30.7,36.6,34.8,0.8,-73.8,True
COST,3195,9.4,0.83,-14.0,42.9,19.5,0.86,-31.4,False
LITE,2804,19.9,0.82,-25.9,38.8,43.2,0.88,-66.9,False
^SOX,3195,12.6,0.82,-20.9,41.8,27.3,0.84,-46.5,False
APP,1362,23.9,0.82,-40.5,33.1,34.8,0.72,-91.9,True
CDNS,3195,12.5,0.81,-16.0,42.3,26.7,0.83,-34.2,False
QQQ,3195,9.2,0.8,-16.3,44.2,18.9,0.83,-35.1,False
AMAT,3195,14.4,0.8,-24.3,39.7,30.0,0.79,-55.1,True
^NDX,3195,8.9,0.77,-15.9,43.9,18.0,0.79,-35.6,False
MPWR,3195,15.1,0.76,-22.2,42.0,33.2,0.82,-51.6,False
CPRT,3195,9.1,0.73,-20.0,39.7,16.2,0.63,-57.4,True
GOOGL,3195,10.5,0.73,-21.1,42.6,22.0,0.77,-44.3,False
ASML,3195,12.5,0.73,-25.5,41.3,26.5,0.77,-56.9,False
GOOG,3195,10.5,0.73,-21.3,42.6,21.9,0.77,-44.6,False
ORLY,3195,9.6,0.73,-19.1,43.1,19.7,0.75,-42.0,False
STX,3195,13.5,0.72,-32.1,39.9,28.7,0.76,-70.1,False
TER,3195,13.4,0.71,-23.9,39.7,27.2,0.72,-59.1,False
MRNA,1953,23.4,0.7,-45.2,29.4,30.4,0.62,-95.4,True
MRVL,3195,13.9,0.69,-24.9,37.3,25.8,0.67,-61.9,True
TSLA,3195,15.5,0.68,-31.6,39.2,32.6,0.75,-73.6,False
TTWO,3195,10.9,0.68,-23.3,41.5,21.7,0.69,-56.1,False
AXON,3195,14.3,0.68,-28.1,39.5,30.9,0.75,-60.3,False
MELI,3195,13.3,0.68,-28.6,39.7,25.7,0.68,-69.1,False
META,3195,11.2,0.68,-32.7,40.6,22.0,0.67,-76.7,True
GRMN,3195,9.4,0.67,-23.0,40.8,18.9,0.68,-54.6,False
NFLX,3195,12.2,0.67,-30.4,40.3,23.7,0.67,-75.9,False
AMZN,3195,10.6,0.67,-26.2,42.0,21.9,0.71,-56.1,False
ENPH,3195,16.6,0.67,-46.6,29.0,14.0,0.54,-96.0,True
EQIX,3195,8.8,0.66,-16.9,41.3,17.8,0.68,-41.8,False
IDXX,3195,9.9,0.65,-25.5,41.6,19.7,0.66,-54.0,False
DDOG,1757,16.1,0.65,-29.2,38.1,29.8,0.68,-68.1,False
ZS,2137,15.0,0.65,-30.9,36.8,23.1,0.6,-76.4,True
SNPS,3195,9.8,0.64,-16.9,41.6,19.3,0.65,-43.0,False
ISRG,3195,9.7,0.63,-21.6,41.6,19.0,0.64,-49.9,False
MDB,2238,15.9,0.63,-37.4,36.6,32.0,0.71,-76.5,False
WMT,3195,7.3,0.63,-16.1,41.3,13.9,0.63,-36.4,False
ODFL,3195,9.8,0.63,-19.5,42.8,20.3,0.69,-45.2,False
CSCO,3195,8.5,0.63,-18.7,43.0,16.8,0.66,-42.0,False
SMCI,3195,14.7,0.62,-40.5,37.0,27.8,0.67,-84.8,False
TTD,2510,16.0,0.62,-32.8,36.0,17.1,0.53,-90.7,True
OKTA,2373,13.8,0.62,-40.6,38.2,24.7,0.63,-84.6,False
MNST,3195,8.8,0.6,-14.0,42.5,17.8,0.65,-30.4,False
TXN,3195,9.1,0.6,-14.2,43.2,18.4,0.65,-33.4,False
ADI,3195,9.4,0.6,-15.4,42.8,19.5,0.66,-33.6,False
CDW,3195,9.0,0.6,-23.5,42.4,17.1,0.61,-60.4,False
MSTR,3195,14.0,0.6,-38.6,35.1,20.1,0.58,-89.3,True
KDP,3195,7.4,0.59,-15.3,43.0,14.6,0.62,-36.9,False
MAR,3195,8.7,0.59,-27.6,41.2,17.5,0.61,-61.3,False
ROST,3195,8.5,0.58,-20.7,41.7,16.4,0.59,-51.4,False
TEAM,2707,11.7,0.57,-35.4,37.5,22.8,0.6,-87.5,False
NTES,3195,10.2,0.57,-26.8,39.6,19.5,0.59,-57.3,False
ADP,3195,7.2,0.57,-18.2,42.8,13.9,0.59,-40.8,False
FAST,3195,7.5,0.56,-13.6,40.9,15.0,0.59,-30.7,False
CSX,3195,7.8,0.56,-19.2,41.2,15.5,0.59,-40.7,False
EXPD,3195,7.1,0.55,-15.7,41.5,13.7,0.57,-35.6,False
AEP,3195,6.2,0.54,-13.6,41.5,11.8,0.56,-32.9,False
NTAP,3195,8.6,0.54,-22.7,40.3,15.8,0.54,-58.1,False
TMUS,3195,7.7,0.53,-15.3,43.6,14.5,0.57,-37.1,False
