구간,설정,CAGR%,변동성%,Sharpe,MDD%,평균 SOXL 비중%,연 매매,익절 사이클
실제 2010~2026,SOXL(또는 합성) 매수보유,36.7,91.7,0.79,-90.5,,,
실제 2010~2026,현금(단기금리),1.5,0.1,-0.0,-0.0,,,
실제 2010~2026,SOXX 매수보유,24.5,30.8,0.82,-45.8,,,
실제 2010~2026,QQQ 매수보유,18.8,20.7,0.87,-35.1,,,
실제 2010~2026,A1 무한매수법 + 쿼터손절,12.6,15.9,0.73,-27.6,16.1,142.6,120.0
실제 2010~2026,A2 무한매수법 · 관망 −50%,14.0,21.9,0.64,-36.3,21.7,142.6,124.0
실제 2010~2026,B1 스윙 + 200일선 추세 필터,4.0,7.9,0.35,-33.1,3.1,5.3,
실제 2010~2026,B2 B1 + 50일선 청산,4.8,9.7,0.38,-27.1,4.6,5.8,
실제 2010~2026,C1 리밸런싱 목표 30%,15.2,22.9,0.67,-34.7,26.9,1.4,
실제 2010~2026,C2 리밸런싱 목표 40%,21.1,30.3,0.73,-39.1,35.7,1.9,
실제 2010~2026,C3 리밸런싱 동적 30%/10%,14.0,20.0,0.68,-26.3,22.2,5.2,
실제 2010~2026,(현금 CAGR 기준),1.5,,,,,,
합성 1994~2026,SOXL(또는 합성) 매수보유,-7.2,113.8,0.48,-100.0,,,
합성 1994~2026,현금(단기금리),2.5,0.1,-0.0,-0.0,,,
합성 1994~2026,^SOX 1배 매수보유(가격),14.9,37.9,0.49,-87.1,,,
합성 1994~2026,A1 무한매수법 + 쿼터손절,9.4,17.1,0.47,-39.7,14.0,119.1,191.0
합성 1994~2026,A2 무한매수법 · 관망 −50%,6.7,17.4,0.32,-41.3,11.7,56.4,114.0
합성 1994~2026,B1 스윙 + 200일선 추세 필터,2.5,0.1,-0.0,-0.0,0.0,0.0,
합성 1994~2026,B2 B1 + 50일선 청산,2.5,0.1,-0.0,-0.0,0.0,0.0,
합성 1994~2026,C1 리밸런싱 목표 30%,11.3,22.0,0.49,-45.1,21.4,1.2,
합성 1994~2026,C2 리밸런싱 목표 40%,13.7,29.8,0.5,-66.4,29.1,1.5,
합성 1994~2026,C3 리밸런싱 동적 30%/10%,11.1,19.7,0.51,-36.6,17.5,4.2,
합성 1994~2026,(현금 CAGR 기준),2.5,,,,,,
합성 1994~2009,SOXL(또는 합성) 매수보유,-36.8,132.0,0.28,-100.0,,,
합성 1994~2009,현금(단기금리),3.6,0.1,-0.0,0.0,,,
합성 1994~2009,^SOX 1배 매수보유(가격),6.8,44.0,0.29,-87.1,,,
합성 1994~2009,A1 무한매수법 + 쿼터손절,6.1,18.3,0.23,-39.7,12.1,95.2,75.0
합성 1994~2009,A2 무한매수법 · 관망 −50%,5.4,18.4,0.19,-41.3,11.4,69.5,70.0
합성 1994~2009,B1 스윙 + 200일선 추세 필터,3.6,0.1,-0.0,0.0,0.0,0.0,
합성 1994~2009,B2 B1 + 50일선 청산,3.6,0.1,-0.0,0.0,0.0,0.0,
합성 1994~2009,C1 리밸런싱 목표 30%,9.2,20.6,0.36,-45.1,15.8,1.5,
합성 1994~2009,C2 리밸런싱 목표 40%,9.1,28.9,0.32,-66.4,22.2,1.6,
합성 1994~2009,C3 리밸런싱 동적 30%/10%,10.1,19.0,0.42,-36.6,12.6,3.3,
합성 1994~2009,(현금 CAGR 기준),3.6,,,,,,
