목표,밴드,구간,CAGR%,변동성%,Sharpe,MDD%,평균비중%,연매매
0.3,0.05,실제,14.7,22.5,0.65,-31.1,26.4,3.7
0.3,0.05,합성,11.7,21.8,0.5,-48.2,21.3,3.9
0.3,0.1,실제,15.2,22.9,0.67,-34.7,26.9,1.4
0.3,0.1,합성,11.3,22.0,0.49,-45.1,21.4,1.2
0.3,0.15,실제,16.0,25.3,0.65,-37.6,28.8,1.0
0.3,0.15,합성,11.9,23.2,0.5,-57.0,22.0,0.9
0.3,0.2,실제,14.1,23.7,0.61,-35.3,26.1,0.5
0.3,0.2,합성,12.5,24.3,0.51,-45.9,23.4,0.6
0.4,0.05,실제,20.4,30.2,0.72,-40.5,35.2,5.6
0.4,0.05,합성,14.2,29.7,0.51,-66.8,29.3,4.9
0.4,0.1,실제,21.1,30.3,0.73,-39.1,35.7,1.9
0.4,0.1,합성,13.7,29.8,0.5,-66.4,29.1,1.5
0.4,0.15,실제,21.9,30.6,0.75,-36.0,36.5,1.2
0.4,0.15,합성,15.0,31.3,0.52,-66.1,30.2,1.0
0.4,0.2,실제,19.4,33.7,0.65,-49.5,40.0,0.6
0.4,0.2,합성,15.4,32.4,0.53,-64.7,30.5,0.7
0.5,0.05,실제,23.9,38.5,0.71,-49.7,44.9,5.8
0.5,0.05,합성,15.8,37.8,0.51,-79.5,37.3,5.2
0.5,0.1,실제,25.3,38.4,0.74,-47.3,45.0,2.0
0.5,0.1,합성,15.3,38.1,0.5,-79.2,37.2,1.5
0.5,0.15,실제,24.7,40.3,0.71,-56.8,46.8,1.2
0.5,0.15,합성,16.3,39.9,0.52,-81.8,39.2,1.0
0.5,0.2,실제,24.4,42.0,0.7,-55.0,49.7,0.7
0.5,0.2,합성,17.1,42.0,0.53,-82.3,40.7,0.7
0.6,0.05,실제,27.6,47.1,0.72,-58.3,54.7,5.6
0.6,0.05,합성,16.1,47.0,0.5,-89.2,46.1,4.8
0.6,0.1,실제,28.3,47.6,0.73,-58.3,55.2,2.0
0.6,0.1,합성,17.5,46.4,0.53,-86.0,45.4,1.6
0.6,0.15,실제,26.6,50.3,0.69,-67.2,58.0,0.9
0.6,0.15,합성,17.0,49.6,0.52,-87.1,48.2,0.8
0.6,0.2,실제,26.9,51.4,0.69,-67.9,59.4,0.6
0.6,0.2,합성,18.1,50.5,0.54,-88.4,49.2,0.7
0.7,0.05,실제,30.2,56.7,0.73,-66.8,65.2,4.6
0.7,0.05,합성,17.0,56.0,0.52,-93.8,54.5,3.8
0.7,0.1,실제,32.1,56.3,0.75,-63.4,65.2,1.5
0.7,0.1,합성,18.1,56.0,0.53,-92.5,54.7,1.3
0.7,0.15,실제,30.2,60.8,0.72,-68.3,69.3,0.7
0.7,0.15,합성,17.3,59.5,0.53,-94.6,58.2,0.7
0.7,0.2,실제,29.5,61.6,0.71,-74.6,69.9,0.4
0.7,0.2,합성,17.5,60.9,0.53,-94.1,58.8,0.5
