목표,R1상한,구간,CAGR%,변동성%,Sharpe,MDD%,평균비중%
0.3,0.7,실제,15.2,22.9,0.67,-34.7,26.9
0.3,0.7,합성,11.3,22.0,0.49,-45.1,21.4
0.3,0.8,실제,15.2,22.9,0.67,-34.7,26.9
0.3,0.8,합성,11.3,22.0,0.49,-45.1,21.4
0.3,0.9,실제,15.2,22.9,0.67,-34.7,26.9
0.3,0.9,합성,11.3,22.0,0.49,-45.1,21.4
0.3,1.0,실제,15.2,22.9,0.67,-34.7,26.9
0.3,1.0,합성,11.3,22.0,0.49,-45.1,21.4
0.4,0.7,실제,21.1,30.3,0.73,-39.1,35.7
0.4,0.7,합성,13.7,29.8,0.5,-66.4,29.1
0.4,0.8,실제,21.1,30.3,0.73,-39.1,35.7
0.4,0.8,합성,13.7,29.8,0.5,-66.4,29.1
0.4,0.9,실제,21.1,30.3,0.73,-39.1,35.7
0.4,0.9,합성,13.7,29.8,0.5,-66.4,29.1
0.4,1.0,실제,21.1,30.3,0.73,-39.1,35.7
0.4,1.0,합성,13.7,29.8,0.5,-66.4,29.1
0.5,0.7,실제,25.3,38.4,0.74,-47.3,45.0
0.5,0.7,합성,15.3,38.1,0.5,-79.2,37.2
0.5,0.8,실제,25.3,38.4,0.74,-47.3,45.0
0.5,0.8,합성,15.3,38.1,0.5,-79.2,37.2
0.5,0.9,실제,25.3,38.4,0.74,-47.3,45.0
0.5,0.9,합성,15.3,38.1,0.5,-79.2,37.2
0.5,1.0,실제,25.3,38.4,0.74,-47.3,45.0
0.5,1.0,합성,15.3,38.1,0.5,-79.2,37.2
0.6,0.7,실제,28.3,47.6,0.73,-58.3,55.2
0.6,0.7,합성,17.5,46.4,0.53,-86.0,45.4
0.6,0.8,실제,28.3,47.6,0.73,-58.3,55.2
0.6,0.8,합성,17.5,46.4,0.53,-86.0,45.4
0.6,0.9,실제,28.3,47.6,0.73,-58.3,55.2
0.6,0.9,합성,17.5,46.4,0.53,-86.0,45.4
0.6,1.0,실제,28.3,47.6,0.73,-58.3,55.2
0.6,1.0,합성,17.5,46.4,0.53,-86.0,45.4
0.7,0.7,실제,31.1,55.0,0.74,-65.6,64.2
0.7,0.7,합성,18.3,55.5,0.54,-92.2,54.3
0.7,0.8,실제,32.1,56.3,0.75,-63.4,65.2
0.7,0.8,합성,18.1,56.0,0.53,-92.5,54.7
0.7,0.9,실제,32.1,56.3,0.75,-63.4,65.2
0.7,0.9,합성,18.1,56.0,0.53,-92.5,54.7
0.7,1.0,실제,32.1,56.3,0.75,-63.4,65.2
0.7,1.0,합성,18.1,56.0,0.53,-92.5,54.7
