rule,fold,status,reason,start,end,n_days,embargo_days,ret_A_pct,sharpe_A,ret_B_pct,sharpe_B,ret_C_pct,sharpe_C
⓪운영설정,0,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2023-08-09,2024-06-05,208,0,39.89,1.887,47.39,2.228,43.96,2.061
⓪운영설정,1,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2024-06-06,2025-03-07,188,20,-10.68,-0.416,4.8,0.388,-7.81,-0.291
⓪운영설정,2,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2025-03-10,2025-12-04,188,20,59.35,2.533,47.49,2.104,47.85,2.105
⓪운영설정,3,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2025-12-05,2026-09-08,189,20,-1.46,0.16,18.94,0.833,19.18,0.839
①손절15+모멘텀0,0,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2023-08-09,2024-06-05,208,0,69.56,2.012,51.4,1.649,68.94,2.003
①손절15+모멘텀0,1,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2024-06-06,2025-03-07,188,20,16.35,0.721,-2.44,0.055,22.47,0.909
①손절15+모멘텀0,2,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2025-03-10,2025-12-04,188,20,20.39,1.127,9.87,0.642,-1.6,0.049
①손절15+모멘텀0,3,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2025-12-05,2026-09-08,189,20,97.56,2.191,88.51,2.029,88.48,2.047
④손절25+모멘텀0+회전가드,0,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2023-08-09,2024-06-05,208,0,69.21,2.09,57.42,1.788,73.52,2.08
④손절25+모멘텀0+회전가드,1,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2024-06-06,2025-03-07,188,20,17.24,0.741,-10.29,-0.301,25.22,0.968
④손절25+모멘텀0+회전가드,2,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2025-03-10,2025-12-04,188,20,15.34,0.951,17.44,0.962,3.55,0.33
④손절25+모멘텀0+회전가드,3,평가,고정 규칙 — 내부 파라미터 선택 없음(nested 불필요),2025-12-05,2026-09-08,189,20,49.29,1.546,85.97,2.248,83.86,2.203
